,Reactions,Rules,delta G,delta H,delta S,H_reactant_sum,H_product_sum,S_reactant_sum,S_product_sum,R_1,R_2,R_3,P_1,P_2,P_3,R1_Num_of_C,R1_Num_of_db,R1_Num_of_aro,R1_Num_of_cyc,R1_Atypical_aro,P1_Num_of_aro,P1_Num_of_cyc,P1_Atypical_aro,deH_in_cyc,deH_+aromatic,Groups
11,C(=CCCCCCCC)C>>C(=CCCC=CCCC)C.[HH],Dehydrogenation,73.85745120205038,112.29304344078992,128.91360804541182,-1029982.3108377097,-1029870.0177942689,475.61857231957015,604.532180364982,C(=CCCCCCCC)C,,,C(=CCCC=CCCC)C,[HH],,10,1,0,0,0,0,0,0,0,0,A
12,C(=CCCCCCCC)C>>C(=CCCCC=CCC)C.[HH],Dehydrogenation,70.73740742418438,110.25172439648304,132.5316685302655,-1029982.3108377097,-1029872.0591133132,475.61857231957015,608.1502408498357,C(=CCCCCCCC)C,,,C(=CCCCC=CCC)C,[HH],,10,1,0,0,0,0,0,0,0,0,A
13,C(=CCCCCCCC)C>>C(=CCCCCC=CC)C.[HH],Dehydrogenation,71.4332884316672,109.82079010736197,128.7523115066067,-1029982.3108377097,-1029872.4900476023,475.61857231957015,604.3708838261769,C(=CCCCCCCC)C,,,C(=CCCCCC=CC)C,[HH],,10,1,0,0,0,0,0,0,0,0,A
14,C(=CCCCCCCC)C>>C(=C)CCCCCC=CC.[HH],Dehydrogenation,76.70525163810365,112.73438662604894,120.84231087689182,-1029982.3108377097,-1029869.5764510836,475.61857231957015,596.460883196462,C(=CCCCCCCC)C,,,C(=C)CCCCCC=CC,[HH],,10,1,0,0,0,0,0,0,0,0,A
15,C(=CCCCCCCC)C>>C1(=CCCCC1CCC)C.[HH],CyclizationA,-0.9036802901617627,22.724959548097104,79.25084634666734,-1029982.3108377097,-1029959.5858781616,475.61857231957015,554.8694186662375,C(=CCCCCCCC)C,,,C1(=CCCCC1CCC)C,[HH],,10,1,0,0,0,0,0,0,0,0,C
16,C(=CCCCCCCC)C>>C1(=CC)C(CC)CCCC1.[HH],CyclizationA,4.873398215303833,28.322922753402963,78.65009068622885,-1029982.3108377097,-1029953.9879149563,475.61857231957015,554.268663005799,C(=CCCCCCCC)C,,,C1(=CC)C(CC)CCCC1,[HH],,10,1,0,0,0,0,0,0,0,0,C
17,C(=CCCCCCCC)C>>C(=CC1C(CCCC1)C)C.[HH],CyclizationA,-8.130649978888616,15.12742042064201,78.0079503589825,-1029982.3108377097,-1029967.183417289,475.61857231957015,553.6265226785526,C(=CCCCCCCC)C,,,C(=CC1C(CCCC1)C)C,[HH],,10,1,0,0,0,0,0,0,0,0,C
18,C(=CCCCCCCC)C>>C1(CC=CC)CCCCC1.[HH],CyclizationA,3.8343034413785126,26.82700077665504,77.1178847401527,-1029982.3108377097,-1029955.483836933,475.61857231957015,552.7364570597229,C(=CCCCCCCC)C,,,C1(CC=CC)CCCCC1,[HH],,10,1,0,0,0,0,0,0,0,0,C
19,C(=CCCCCCCC)C>>C1(CCCC)CCC=CC1.[HH],CyclizationA,1.110027591302611,26.45936064561829,85.02207967236518,-1029982.3108377097,-1029955.8514770641,475.61857231957015,560.6406519919353,C(=CCCCCCCC)C,,,C1(CCCC)CCC=CC1,[HH],,10,1,0,0,0,0,0,0,0,0,C
20,C(CCCCCCCC)C.[HH]>>CC.C(CCCCCC)C,Hydrogenolysis,-44.94197018197163,-33.14803542091977,39.55705101811793,-1036219.0106092308,-1036252.1586446518,613.6250318935057,653.1820829116236,C(CCCCCCCC)C,[HH],,CC,C(CCCCCC)C,,10,0,0,0,0,0,0,0,0,0,D
21,C(CCCCCCCC)C.[HH]>>C(CCCCCCC)C.C,Hydrogenolysis,-52.81317626343554,-45.535023802891374,24.411042966775653,-1036219.0106092308,-1036264.5456330337,613.6250318935057,638.0360748602814,C(CCCCCCCC)C,[HH],,C(CCCCCCC)C,C,,10,0,0,0,0,0,0,0,0,0,D
22,C(CCCCCCCC)C.[HH]>>C(C)C.C(CCCCC)C,Hydrogenolysis,-57.042496594753175,-40.9389126902679,54.01168507290049,-1036219.0106092308,-1036259.9495219211,613.6250318935057,667.6367169664062,C(CCCCCCCC)C,[HH],,C(C)C,C(CCCCC)C,,10,0,0,0,0,0,0,0,0,0,D
23,C(CCCCCCCC)C.[HH]>>C(CC)C.C(CCCC)C,Hydrogenolysis,-57.61902600283532,-39.83386610716116,59.651718583512206,-1036219.0106092308,-1036258.844475338,613.6250318935057,673.2767504770179,C(CCCCCCCC)C,[HH],,C(CC)C,C(CCCC)C,,10,0,0,0,0,0,0,0,0,0,D
24,C(CCCCCCCC)C.[HH]>>C(CCC)C.C(CCC)C,Hydrogenolysis,-59.01385940763946,-40.410038742935285,62.39752025726705,-1036219.0106092308,-1036259.4206479738,613.6250318935057,676.0225521507728,C(CCCCCCCC)C,[HH],,C(CCC)C,C(CCC)C,,10,0,0,0,0,0,0,0,0,0,D
25,C(=CCCCCCCC)C.[HH]>>C(=C)CCCCCCC.C,Hydrogenolysis,-58.62642137817377,-49.69567286444362,29.953877289049615,-1033037.8197264597,-1033087.5153993241,606.2985723195702,636.2524496086198,C(=CCCCCCCC)C,[HH],,C(=C)CCCCCCC,C,,10,1,0,0,0,0,0,0,0,0,D
26,C(=CCCCCCCC)C.[HH]>>C(=C)C.C(CCCCC)C,Hydrogenolysis,-59.74671029939151,-42.434603962814435,58.06508917181645,-1033037.8197264597,-1033080.2543304225,606.2985723195702,664.3636614913867,C(=CCCCCCCC)C,[HH],,C(=C)C,C(CCCCC)C,,10,1,0,0,0,0,0,0,0,0,D
27,C(=CCCCCCCC)C.[HH]>>C(=CC)C.C(CCCC)C,Hydrogenolysis,-68.09928095321082,-50.23912735981867,59.90324867815582,-1033037.8197264597,-1033088.0588538195,606.2985723195702,666.201820997726,C(=CCCCCCCC)C,[HH],,C(=CC)C,C(CCCC)C,,10,1,0,0,0,0,0,0,0,0,D
28,C(=CCCCCCCC)C.[HH]>>C(=CCC)C.C(CCC)C,Hydrogenolysis,-65.71327381992131,-47.28227086807601,61.81788680813452,-1033037.8197264597,-1033085.1019973278,606.2985723195702,668.1164591277047,C(=CCCCCCCC)C,[HH],,C(=CCC)C,C(CCC)C,,10,1,0,0,0,0,0,0,0,0,D
29,C(=CCCCCCCC)C.[HH]>>C(=CCCC)C.C(CC)C,Hydrogenolysis,-64.96877469581356,-46.47090078587644,62.042173100577315,-1033037.8197264597,-1033084.2906272456,606.2985723195702,668.3407454201475,C(=CCCCCCCC)C,[HH],,C(=CCCC)C,C(CC)C,,10,1,0,0,0,0,0,0,0,0,D
30,C(=CCCCCCCC)C.[HH]>>C(=CCCCC)C.C(C)C,Hydrogenolysis,-63.956769406632546,-46.957577070454136,57.01557047183769,-1033037.8197264597,-1033084.7773035301,606.2985723195702,663.3141427914079,C(=CCCCCCCC)C,[HH],,C(=CCCCC)C,C(C)C,,10,1,0,0,0,0,0,0,0,0,D
31,C(=CCCCCCCC)C.[HH]>>C(=CCCCCC)C.CC,Hydrogenolysis,-54.526659673401596,-41.7451324100839,42.86945250148483,-1033037.8197264597,-1033079.5648588698,606.2985723195702,649.168024821055,C(=CCCCCCCC)C,[HH],,C(=CCCCCC)C,CC,,10,1,0,0,0,0,0,0,0,0,D
32,C(=CCCCCCCC)C.[HH]>>C(=CCCCCCC)C.C,Hydrogenolysis,-57.39950384332034,-46.15912906860467,37.70040172636482,-1033037.8197264597,-1033083.9788555283,606.2985723195702,643.998974045935,C(=CCCCCCCC)C,[HH],,C(=CCCCCCC)C,C,,10,1,0,0,0,0,0,0,0,0,D
33,C(=CCCCCCCC)C.[HH]>>C(CCCCCCCC)C,Hydrogenation,-88.90413594314057,-125.6819940211717,-123.35354042606451,-1033037.8197264597,-1033163.5017204809,606.2985723195702,482.9450318935057,C(=CCCCCCCC)C,[HH],,C(CCCCCCCC)C,,,10,1,0,0,0,0,0,0,0,0,D
34,C(=C)CCCCCCCC>>C(=C)C=CCCCCCC.[HH],Dehydrogenation,58.321649345956985,96.52861528936774,128.14679169347897,-1029978.6701222332,-1029882.1415069439,472.32393715182883,600.4707288453078,C(=C)CCCCCCCC,,,C(=C)C=CCCCCCC,[HH],,10,1,0,0,0,0,0,0,0,0,B
35,C(=C)CCCCCCCC>>C(=C)CC=CCCCCC.[HH],Dehydrogenation,73.89710829096751,112.5427153998753,129.61800137148344,-1029978.6701222332,-1029866.1274068333,472.32393715182883,601.9419385233123,C(=C)CCCCCCCC,,,C(=C)CC=CCCCCC,[HH],,10,1,0,0,0,0,0,0,0,0,A
36,C(=C)CCCCCCCC>>C(=C)CCC=CCCCC.[HH],Dehydrogenation,91.2081591530065,129.79941552958917,129.43570812202807,-1029978.6701222332,-1029848.8707067036,472.32393715182883,601.7596452738569,C(=C)CCCCCCCC,,,C(=C)CCC=CCCCC,[HH],,10,1,0,0,0,0,0,0,0,0,A
37,C(=C)CCCCCCCC>>C(=C)CCCC=CCCC.[HH],Dehydrogenation,76.89719797853923,113.94563024805393,124.26105071110084,-1029978.6701222332,-1029864.7244919852,472.32393715182883,596.5849878629297,C(=C)CCCCCCCC,,,C(=C)CCCC=CCCC,[HH],,10,1,0,0,0,0,0,0,0,0,A
38,C(=C)CCCCCCCC>>C(=C)CCCCC=CCC.[HH],Dehydrogenation,79.20488424288092,118.35157220845576,131.29863479984857,-1029978.6701222332,-1029860.3185500248,472.32393715182883,603.6225719516774,C(=C)CCCCCCCC,,,C(=C)CCCCC=CCC,[HH],,10,1,0,0,0,0,0,0,0,0,A
39,C(=C)CCCCCCCC>>C(=C)CCCCCC=CC.[HH],Dehydrogenation,72.08224068636684,109.09367114957422,124.13694604463313,-1029978.6701222332,-1029869.5764510836,472.32393715182883,596.460883196462,C(=C)CCCCCCCC,,,C(=C)CCCCCC=CC,[HH],,10,1,0,0,0,0,0,0,0,0,A
40,C(=C)CCCCCCCC>>C(=C)CCCCCCC=C.[HH],Dehydrogenation,85.83468329315892,120.9400042135967,117.74382331188252,-1029978.6701222332,-1029857.7301180196,472.32393715182883,590.0677604637114,C(=C)CCCCCCCC,,,C(=C)CCCCCCC=C,[HH],,10,1,0,0,0,0,0,0,0,0,A
41,C(=C)CCCCCCCC.[HH]>>C=C.C(CCCCCC)C,Hydrogenolysis,-41.811748033579235,-29.364348868490197,41.748781368737355,-1033034.1790109832,-1033063.5433598517,603.0039371518288,644.7527185205662,C(=C)CCCCCCCC,[HH],,C=C,C(CCCCCC)C,,10,1,0,0,0,0,0,0,0,0,D
42,C(=C)CCCCCCCC.[HH]>>C(=C)C.C(CCCCC)C,Hydrogenolysis,-64.36972125112833,-46.07531943928916,61.35972433955783,-1033034.1790109832,-1033080.2543304225,603.0039371518288,664.3636614913867,C(=C)CCCCCCCC,[HH],,C(=C)C,C(CCCCC)C,,10,1,0,0,0,0,0,0,0,0,D
43,C(=C)CCCCCCCC.[HH]>>C(=C)CC.C(CCCC)C,Hydrogenolysis,-59.432787033719706,-42.35747416957747,57.270879973644924,-1033034.1790109832,-1033076.5364851528,603.0039371518288,660.2748171254738,C(=C)CCCCCCCC,[HH],,C(=C)CC,C(CCCC)C,,10,1,0,0,0,0,0,0,0,0,D
44,C(=C)CCCCCCCC.[HH]>>C(=C)CCC.C(CCC)C,Hydrogenolysis,-58.953210205980184,-42.401289603323676,55.51541372683721,-1033034.1790109832,-1033076.5803005865,603.0039371518288,658.519350878666,C(=C)CCCCCCCC,[HH],,C(=C)CCC,C(CCC)C,,10,1,0,0,0,0,0,0,0,0,D
45,C(=C)CCCCCCCC.[HH]>>C(=C)CCCC.C(CC)C,Hydrogenolysis,-60.30996939802881,-41.443256226950325,63.27926604420088,-1033034.1790109832,-1033075.6222672102,603.0039371518288,666.2832031960297,C(=C)CCCCCCCC,[HH],,C(=C)CCCC,C(CC)C,,10,1,0,0,0,0,0,0,0,0,D
46,C(=C)CCCCCCCC.[HH]>>C(=C)CCCCC.C(C)C,Hydrogenolysis,-52.99525076470047,-36.60866021749098,54.96089400372125,-1033034.1790109832,-1033070.7876712007,603.0039371518288,657.9648311555501,C(=C)CCCCCCCC,[HH],,C(=C)CCCCC,C(C)C,,10,1,0,0,0,0,0,0,0,0,D
47,C(=C)CCCCCCCC.[HH]>>C(=C)CCCCCC.CC,Hydrogenolysis,-52.417268938163524,-39.99169838195667,41.675567855800296,-1033034.1790109832,-1033074.1707093652,603.0039371518288,644.6795050076291,C(=C)CCCCCCCC,[HH],,C(=C)CCCCCC,CC,,10,1,0,0,0,0,0,0,0,0,D
48,C(=C)CCCCCCCC.[HH]>>C(=C)CCCCCCC.C,Hydrogenolysis,-63.249432329910576,-53.33638834091835,33.24851245679099,-1033034.1790109832,-1033087.5153993241,603.0039371518288,636.2524496086198,C(=C)CCCCCCCC,[HH],,C(=C)CCCCCCC,C,,10,1,0,0,0,0,0,0,0,0,D
49,C(=C)CCCCCCCC.[HH]>>C(CCCCCCCC)C,Hydrogenation,-93.52714689487739,-129.32270949764643,-120.05890525832314,-1033034.1790109832,-1033163.5017204809,603.0039371518288,482.9450318935057,C(=C)CCCCCCCC,[HH],,C(CCCCCCCC)C,,,10,1,0,0,0,0,0,0,0,0,D
50,C(=C)CCCCCCCC>>C1(=C)C(CCCC1)CCC.[HH],CyclizationA,4.710809544666546,25.18714673235081,68.67797144955313,-1029978.6701222332,-1029953.4829755009,472.32393715182883,541.001908601382,C(=C)CCCCCCCC,,,C1(=C)C(CCCC1)CCC,[HH],,10,1,0,0,0,0,0,0,0,0,C
51,C(=C)CCCCCCCC>>C1(CCCC)C=CCCC1.[HH],CyclizationA,0.9370479108447363,27.328149059787393,88.5161869828699,-1029978.6701222332,-1029951.3419731734,472.32393715182883,560.8401241346987,C(=C)CCCCCCCC,,,C1(CCCC)C=CCCC1,[HH],,10,1,0,0,0,0,0,0,0,0,C
52,C(=C)CCCCCCCC>>C(=C)C1C(CC)CCCC1.[HH],CyclizationA,-2.152760082457803,19.780467146309093,73.56440459086667,-1029978.6701222332,-1029958.8896550869,472.32393715182883,545.8883417426955,C(=C)CCCCCCCC,,,C(=C)C1C(CC)CCCC1,[HH],,10,1,0,0,0,0,0,0,0,0,C
53,C(=C)CCCCCCCC>>C(=C)CC1C(CCCC1)C.[HH],CyclizationA,0.5833155384689448,21.062245338689536,68.68666711460872,-1029978.6701222332,-1029957.6078768945,472.32393715182883,541.0106042664376,C(=C)CCCCCCCC,,,C(=C)CC1C(CCCC1)C,[HH],,10,1,0,0,0,0,0,0,0,0,C
54,C(=C)CCCCCCCC>>C(=C)CCC1CCCCC1.[HH],CyclizationA,11.504787905581782,34.14488183555659,75.93524712384641,-1029978.6701222332,-1029944.5252403977,472.32393715182883,548.2591842756752,C(=C)CCCCCCCC,,,C(=C)CCC1CCCCC1,[HH],,10,1,0,0,0,0,0,0,0,0,C
55,C(=CCC)CCCCCC>>C(=C)C=CCCCCCC.[HH],Dehydrogenation,65.51969037731959,102.50722959719133,124.0568144218405,-1029984.648736541,-1029882.1415069439,476.4139144234673,600.4707288453078,C(=CCC)CCCCCC,,,C(=C)C=CCCCCCC,[HH],,10,1,0,0,0,0,0,0,0,0,A
56,C(=CCC)CCCCCC>>C(=CCC)C=CCCCC.[HH],Dehydrogenation,61.18370527949305,99.26903479138855,127.73882110312093,-1029984.648736541,-1029885.3797017497,476.4139144234673,604.1527355265882,C(=CCC)CCCCCC,,,C(=CCC)C=CCCCC,[HH],,10,1,0,0,0,0,0,0,0,0,B
57,C(=CCC)CCCCCC>>C(=CCC)CC=CCCC.[HH],Dehydrogenation,79.91607557711527,116.54097489942797,122.84051424555662,-1029984.648736541,-1029868.1077616416,476.4139144234673,599.2544286690239,C(=CCC)CCCCCC,,,C(=CCC)CC=CCCC,[HH],,10,1,0,0,0,0,0,0,0,0,A
58,C(=CCC)CCCCCC>>C(=CCC)CCC=CCC.[HH],Dehydrogenation,76.72097455195308,115.54637643520255,130.22103599949514,-1029984.648736541,-1029869.1023601058,476.4139144234673,606.6349504229624,C(=CCC)CCCCCC,,,C(=CCC)CCC=CCC,[HH],,10,1,0,0,0,0,0,0,0,0,A
59,C(=CCC)CCCCCC>>C(=CCCCC=CCC)C.[HH],Dehydrogenation,73.31243750381019,112.58962322783191,131.73632642636835,-1029984.648736541,-1029872.0591133132,476.4139144234673,608.1502408498357,C(=CCC)CCCCCC,,,C(=CCCCC=CCC)C,[HH],,10,1,0,0,0,0,0,0,0,0,A
60,C(=CCC)CCCCCC>>C(=C)CCCCC=CCC.[HH],Dehydrogenation,86.40292527424353,124.33018651627935,127.2086575282101,-1029984.648736541,-1029860.3185500248,476.4139144234673,603.6225719516774,C(=CCC)CCCCCC,,,C(=C)CCCCC=CCC,[HH],,10,1,0,0,0,0,0,0,0,0,A
61,C(=CCC)CCCCCC.[HH]>>C(=C)CC.C(CCCC)C,Hydrogenolysis,-52.234746002357085,-36.37885986175388,53.18090270200639,-1033040.157625291,-1033076.5364851528,607.0939144234674,660.2748171254738,C(=CCC)CCCCCC,[HH],,C(=C)CC,C(CCCC)C,,10,1,0,0,0,0,0,0,0,0,D
62,C(=CCC)CCCCCC.[HH]>>C(=C)CCCCCC.CC,Hydrogenolysis,-45.2192279068009,-34.013084074133076,37.585590584161764,-1033040.157625291,-1033074.1707093652,607.0939144234674,644.6795050076291,C(=CCC)CCCCCC,[HH],,C(=C)CCCCCC,CC,,10,1,0,0,0,0,0,0,0,0,D
63,C(=CCC)CCCCCC.[HH]>>C(=CCCCCCC)C.C,Hydrogenolysis,-54.82447376369454,-43.821230237255804,36.90505962246766,-1033040.157625291,-1033083.9788555283,607.0939144234674,643.998974045935,C(=CCC)CCCCCC,[HH],,C(=CCCCCCC)C,C,,10,1,0,0,0,0,0,0,0,0,D
64,C(=CCC)CCCCCC.[HH]>>C(=CCC)C.C(CCC)C,Hydrogenolysis,-63.138243740295515,-44.944372036727145,61.02254470423736,-1033040.157625291,-1033085.1019973278,607.0939144234674,668.1164591277047,C(=CCC)CCCCCC,[HH],,C(=CCC)C,C(CCC)C,,10,1,0,0,0,0,0,0,0,0,D
65,C(=CCC)CCCCCC.[HH]>>C(=CCC)CC.C(CC)C,Hydrogenolysis,-57.878272005681815,-40.0509061133489,59.79327818994773,-1033040.157625291,-1033080.2085314044,607.0939144234674,666.8871926134151,C(=CCC)CCCCCC,[HH],,C(=CCC)CC,C(CC)C,,10,1,0,0,0,0,0,0,0,0,D
66,C(=CCC)CCCCCC.[HH]>>C(=CCC)CCC.C(C)C,Hydrogenolysis,-55.427150437279295,-39.74384855804965,52.60205225299228,-1033040.157625291,-1033079.9014738491,607.0939144234674,659.6959666764596,C(=CCC)CCCCCC,[HH],,C(=CCC)CCC,C(C)C,,10,1,0,0,0,0,0,0,0,0,D
67,C(=CCC)CCCCCC.[HH]>>C(=CCC)CCCC.CC,Hydrogenolysis,-52.83305617957055,-39.938630157965235,43.24811679223649,-1033040.157625291,-1033080.096255449,607.0939144234674,650.3420312157039,C(=CCC)CCCCCC,[HH],,C(=CCC)CCCC,CC,,10,1,0,0,0,0,0,0,0,0,D
68,C(=CCC)CCCCCC.[HH]>>C(=CCC)CCCCC.C,Hydrogenolysis,-61.18663341423735,-51.693206665688194,31.84110933606962,-1033040.157625291,-1033091.8508319567,607.0939144234674,638.935023759537,C(=CCC)CCCCCC,[HH],,C(=CCC)CCCCC,C,,10,1,0,0,0,0,0,0,0,0,D
69,C(=CCC)CCCCCC.[HH]>>C(CCCCCCCC)C,Hydrogenation,-86.32910586351477,-123.34409518982284,-124.14888252996167,-1033040.157625291,-1033163.5017204809,607.0939144234674,482.9450318935057,C(=CCC)CCCCCC,[HH],,C(CCCCCCCC)C,,,10,1,0,0,0,0,0,0,0,0,D
70,C(=CCC)CCCCCC>>C1(=CCC)C(CCCC1)C.[HH],CyclizationA,6.534993429185246,30.490080382907763,80.34575533698649,-1029984.648736541,-1029954.1586561581,476.4139144234673,556.7596697604538,C(=CCC)CCCCCC,,,C1(=CCC)C(CCCC1)C,[HH],,10,1,0,0,0,0,0,0,0,0,C
71,C(=CCC)CCCCCC>>C1(=CCCCC1CC)CC.[HH],CyclizationA,8.903145626553066,31.9656066497555,77.35187329600012,-1029984.648736541,-1029952.6831298913,476.4139144234673,553.7657877194674,C(=CCC)CCCCCC,,,C1(=CCCCC1CC)CC,[HH],,10,1,0,0,0,0,0,0,0,0,C
72,C(=CCC)CCCCCC>>C1(C(CCC=C1)CCC)C.[HH],CyclizationA,-0.7910884100446189,22.287370086996816,77.40552908616951,-1029984.648736541,-1029962.361366454,476.4139144234673,553.8194435096368,C(=CCC)CCCCCC,,,C1(C(CCC=C1)CCC)C,[HH],,10,1,0,0,0,0,0,0,0,0,C
73,C(=CCC)CCCCCC>>C1(CCCC)CCC=CC1.[HH],CyclizationA,3.685057670928419,28.797259476967156,84.22673756846802,-1029984.648736541,-1029955.8514770641,476.4139144234673,560.6406519919353,C(=CCC)CCCCCC,,,C1(CCCC)CCC=CC1,[HH],,10,1,0,0,0,0,0,0,0,0,C
74,C(=CCC)CCCCCC>>C1(CCCCC1)C=CCC.[HH],CyclizationA,12.69908248624342,35.14099237660412,75.27053459788931,-1029984.648736541,-1029949.5077441644,476.4139144234673,551.6844490213566,C(=CCC)CCCCCC,,,C1(CCCCC1)C=CCC,[HH],,10,1,0,0,0,0,0,0,0,0,C
75,C(=CCCCCC)CCC>>C(=CC=CCCC)CCC.[HH],Dehydrogenation,58.39889549957348,96.94510213157628,129.28461053832905,-1029983.9944817239,-1029887.0493795923,472.5471070191121,601.8317175574412,C(=CCCCCC)CCC,,,C(=CC=CCCC)CCC,[HH],,10,1,0,0,0,0,0,0,0,0,B
76,C(=CCCCCC)CCC>>C(=CCC)CC=CCCC.[HH],Dehydrogenation,78.10893213233574,115.88672008225694,126.70732164991182,-1029983.9944817239,-1029868.1077616416,472.5471070191121,599.2544286690239,C(=CCCCCC)CCC,,,C(=CCC)CC=CCCC,[HH],,10,1,0,0,0,0,0,0,0,0,A
77,C(=CCCCCC)CCC>>C(=CCCC=CCCC)C.[HH],Dehydrogenation,74.62533783689668,113.97668745496776,131.98507334586986,-1029983.9944817239,-1029870.0177942689,472.5471070191121,604.532180364982,C(=CCCCCC)CCC,,,C(=CCCC=CCCC)C,[HH],,10,1,0,0,0,0,0,0,0,0,A
78,C(=CCCCCC)CCC>>C(=C)CCCC=CCCC.[HH],Dehydrogenation,82.28809556512229,119.2699897387065,124.03788084381756,-1029983.9944817239,-1029864.7244919852,472.5471070191121,596.5849878629297,C(=CCCCCC)CCC,,,C(=C)CCCC=CCCC,[HH],,10,1,0,0,0,0,0,0,0,0,A
79,C(=CCCCCC)CCC>>C(=CC=CCCCCC)C.[HH],Dehydrogenation,56.6682529157908,97.19106221548282,135.91416837059205,-1029983.9944817239,-1029886.8034195084,472.5471070191121,608.4612753897042,C(=CCCCCC)CCC,,,C(=CC=CCCCCC)C,[HH],,10,1,0,0,0,0,0,0,0,0,B
80,C(=CCCCCC)CCC>>C(=C)CC=CCCCCC.[HH],Dehydrogenation,79.2880058775506,117.86707489052787,129.39483150420017,-1029983.9944817239,-1029866.1274068333,472.5471070191121,601.9419385233123,C(=CCCCCC)CCC,,,C(=C)CC=CCCCCC,[HH],,10,1,0,0,0,0,0,0,0,0,A
81,C(=CCCCCC)CCC.[HH]>>C(=C)CCCCC.C(C)C,Hydrogenolysis,-47.60435317811741,-31.28430072683841,54.73772413643803,-1033039.5033704739,-1033070.7876712007,603.227107019112,657.9648311555501,C(=CCCCCC)CCC,[HH],,C(=C)CCCCC,C(C)C,,10,1,0,0,0,0,0,0,0,0,D
82,C(=CCCCCC)CCC.[HH]>>C(=C)CCC.C(CCC)C,Hydrogenolysis,-53.56231261939713,-37.07693011267111,55.29224385955399,-1033039.5033704739,-1033076.5803005865,603.227107019112,658.519350878666,C(=CCCCCC)CCC,[HH],,C(=C)CCC,C(CCC)C,,10,1,0,0,0,0,0,0,0,0,D
